Country or Area,Year,Value,Value Footnotes
Uganda,2016,21.4,174
Uganda,2012,19.7,174
Uganda,2009,24.5,174
Uganda,2005,31.1,174
Uganda,2002,38.8,174
Ukraine,2020,1.6,175
United Kingdom,2017,18.6,5
United Kingdom,2016,17,5
Uruguay,2022,9.9,176
Uzbekistan,2023,11,
Uzbekistan,2022,14.1,
Uzbekistan,2021,17,
Vanuatu,2019,15.9,
Venezuela,2015,33.1,177
Venezuela,2014,29.5,177
Venezuela,2013,29.4,177
Venezuela,2012,27.2,177
Venezuela,2011,27.4,177
Venezuela,2010,26.8,177
Venezuela,2009,26.4,177
Venezuela,2008,27.7,177
Venezuela,2007,27.5,177
Venezuela,2006,33.1,177
Venezuela,2005,42.4,177
Venezuela,2004,53.1,177
Venezuela,2003,54,177
Venezuela,2002,41.1,177
Venezuela,2001,31.1,177
Venezuela,2000,41.6,177
Viet Nam,2022,4.3,
Viet Nam,2020,4.8,178
Viet Nam,2019,5.7,178
Viet Nam,2018,6.8,179
Viet Nam,2017,7.9,178
Viet Nam,2016,9.2,180
West Bank and Gaza,2016,29.2,181
West Bank and Gaza,2011,25.8,181
West Bank and Gaza,2010,25.7,181
Yemen,2014,48.6,182
Yemen,2005,34.8,183
Zambia,2022,60,184
Zambia,2015,54.4,184
Zambia,2010,57,184
Zimbabwe,2019,38.3,185
Zimbabwe,2017,30.4,186
Zimbabwe,2011,22.5,187
Zimbabwe,2001,32.2,188
